# time (s) ,  q1,   q2  
1.6200e+02  7.0729e+03  7.0729e+03 
1.6250e+02  7.0002e+03  7.0002e+03 
1.6300e+02  6.9282e+03  6.9282e+03 
1.6350e+02  6.8569e+03  6.8569e+03 
1.6400e+02  6.7864e+03  6.7864e+03 
1.6450e+02  6.7166e+03  6.7166e+03 
1.6500e+02  6.6475e+03  6.6475e+03 
1.6550e+02  6.5792e+03  6.5792e+03 
1.6600e+02  6.5115e+03  6.5115e+03 
1.6650e+02  6.4445e+03  6.4445e+03 
1.6700e+02  6.3782e+03  6.3782e+03 
1.6750e+02  6.3126e+03  6.3126e+03 
1.6800e+02  6.2477e+03  6.2477e+03 
1.6850e+02  6.1835e+03  6.1835e+03 
1.6900e+02  6.1199e+03  6.1199e+03 
1.6950e+02  6.0569e+03  6.0569e+03 
1.7000e+02  5.9946e+03  5.9946e+03 
1.7050e+02  5.9330e+03  5.9330e+03 
1.7100e+02  5.8719e+03  5.8719e+03 
1.7150e+02  5.8116e+03  5.8116e+03 
1.7200e+02  5.7518e+03  5.7518e+03 
1.7250e+02  5.6926e+03  5.6926e+03 
1.7300e+02  5.6341e+03  5.6341e+03 
1.7350e+02  5.5761e+03  5.5761e+03 
1.7400e+02  5.5188e+03  5.5188e+03 
1.7450e+02  5.4620e+03  5.4620e+03 
1.7500e+02  5.4058e+03  5.4058e+03 
1.7550e+02  5.3502e+03  5.3502e+03 
1.7600e+02  5.2952e+03  5.2952e+03 
1.7650e+02  5.2408e+03  5.2408e+03 
1.7700e+02  5.1868e+03  5.1868e+03 
1.7750e+02  5.1335e+03  5.1335e+03 
1.7800e+02  5.0807e+03  5.0807e+03 
1.7850e+02  5.0284e+03  5.0284e+03 
1.7900e+02  4.9767e+03  4.9767e+03 
1.7950e+02  4.9255e+03  4.9255e+03 
1.8000e+02  4.8749e+03  4.8749e+03 
1.8050e+02  4.8247e+03  4.8247e+03 
1.8100e+02  4.7751e+03  4.7751e+03 
1.8150e+02  4.7260e+03  4.7260e+03 
1.8200e+02  4.6774e+03  4.6774e+03 
1.8250e+02  4.6293e+03  4.6293e+03 
1.8300e+02  4.5817e+03  4.5817e+03 
1.8350e+02  4.5346e+03  4.5346e+03 
1.8400e+02  4.4879e+03  4.4879e+03 
1.8450e+02  4.4418e+03  4.4418e+03 
1.8500e+02  4.3961e+03  4.3961e+03 
1.8550e+02  4.3509e+03  4.3509e+03 
1.8600e+02  4.3061e+03  4.3061e+03 
1.8650e+02  4.2618e+03  4.2618e+03 
1.8700e+02  4.2180e+03  4.2180e+03 
1.8750e+02  4.1746e+03  4.1746e+03 
1.8800e+02  4.1317e+03  4.1317e+03 
1.8850e+02  4.0892e+03  4.0892e+03 
1.8900e+02  4.0471e+03  4.0471e+03 
1.8950e+02  4.0055e+03  4.0055e+03 
1.9000e+02  3.9643e+03  3.9643e+03 
1.9050e+02  3.9235e+03  3.9235e+03 
1.9100e+02  3.8832e+03  3.8832e+03 
1.9150e+02  3.8432e+03  3.8432e+03 
1.9200e+02  3.8037e+03  3.8037e+03 
1.9250e+02  3.7646e+03  3.7646e+03 
1.9300e+02  3.7259e+03  3.7259e+03 
1.9350e+02  3.6875e+03  3.6875e+03 
1.9400e+02  3.6496e+03  3.6496e+03 
1.9450e+02  3.6121e+03  3.6121e+03 
1.9500e+02  3.5749e+03  3.5749e+03 
1.9550e+02  3.5382e+03  3.5382e+03 
1.9600e+02  3.5018e+03  3.5018e+03 
1.9650e+02  3.4658e+03  3.4658e+03 
